input,output,output_predicted,similarity_score
"'J 351 malaria,I filaria & pest control staff.","J 351 malaria, filaria & pest control staff.","'J 351 malaria,I filaria & pest control staff.",0.9565217391304348
"This does not include homes that the big banks own, and it doesn't add in the homes with loans that are 90+ days delinquent, which is 1.96 millions, according to Lender Processing Services, or the number of properties that are in the foreclosure process, which is 2.18 million.","This does not include homes that the big banks own, and it doesn't add in the homes with loans that are 90+ days delinquent, which is 1.96 million, according to Lender Processing Services, or the number of properties that are in the foreclosure process, which is 2.18 million.","This does not include homes that the big banks own, and it doesn't add in the homes with loans that are 90+ days delinquent, which is 1.96 million, according to Lender Processing Services, or the number of properties that are in the foreclosure process, which is 2.18 million.",1.0
Double Day Bed Make Through Storage Intended For White Design 1.,Double Day Bed Daybed With Storage Intended For White Designs 1.,Double Day Bed Make Through Storage Intended For White Design 1.,0.828125
politicians and government Bureaucrat s are informed by select experts.,politicians and government bureaucrats are informed by select experts.,Politicians and government Bureaucrats are informed by select experts.,0.9714285714285714
Responsible for members alone which foreman on as well as workshop.,Responsible for work allocated from foreman onboard as well as workshop.,Responsible for members alone which are responsible for as well as workshop.,0.5921052631578947
"Health Minister Christine Elliot revealed the details to health-care stakeholders at a meeting on Tuesday, with an official report which is expected to be announced on Wednesday.","Health Minister Christine Elliott revealed the details to health-care stakeholders at a meeting on Tuesday, with an official announcement expected to be made on Wednesday.","Health Minister Christine Elliot revealed the details to health-care stakeholders at a meeting on Tuesday, with an official report expected to be announced on Wednesday.",0.8888888888888888
I have a 'Here' from weather data station of Cumulus.,I have a Watson W8681 Weather Station & Latest Version of Cumulus.,I have a 'Here' from weather data station of Cumulus.,0.5757575757575757
"smartphone, laptop, this can work with numerous endeavourers, simply open one of the following websites on your desktop, or any android proxy emulator Other device that use a web browser: free vpn pptp apk You could usually use your Routers admistration page to find your public IP,To notice that if you are plotting to watch.","smartphone, laptop, while this can be done in numerous ways, simply open one of the following websites on your desktop, or any android proxy emulator other device that uses a web browser: free vpn pptp apk You could usually use your routers administration page to find your public IP,To be noted that if you are planning to watch.","Smartphone, laptop, this can work with numerous endeavourers, simply open one of the following websites on your desktop, or any android proxy emulator Other device that use a web browser: free vpn pptp apk You could usually use your Routers admistration page to find your",0.7333333333333334
Streass the important of giving.,Stress the importance of giving.,Streass the important of giving.,0.90625
The Heavy was built around a core of vocalist Kelvin Swaby ans guitarist Dan Taylor.,The Heavy were built around a core of vocalist Kelvin Swaby and guitarist Dan Taylor.,The Heavy was built around a core of vocalist Kelvin Swaby and guitarist Dan Taylor.,0.9647058823529412
APEGBC Central Inteior Branch: CA Celebration of A.PEGBBC's New Professional Members!,APEGBC Central Interior Branch: Celebration of APEGBC's New Professional Members!,APEGBC Central Inteior Branch: CA Celebration of A.PEGBBC's New Professional Members!,0.9294117647058824
Do you like pushing color and shape around by a method for self-discovery? -,Do you like pushing colors and shapes around as a method for self-discovery?,Do you like pushing color and shape around by a method for self-discovery?,0.9473684210526316
Become that god's call is you!,Become all that God is calling you to be!,Become that god's call is you!,0.6097560975609756
"And more unclear about the university system will fill their shortfall with his fund, they said I will suspend that tuition is off the table in this year but will be revisited in 2019 academic years.","While it was unclear how the university system will fill their budget shortfall, they said tuition is off the table this year but will be revisited in the 2019 academic year.","And more unclear about the university system will fill their shortfall with his fund, they said. I will suspend that tuition is off the table in this year but will be revisited in 2019 academic years.",0.6799999999999999
"Once crust-tender, add curry powder, coconut milk, water, and risini to carrot skillet.","Once crisp-tender, add curry powder, coconut milk, water, and raisins to carrot skillet.","Once crust-tender, add curry powder, coconut milk, water, and risini to carrot skillet.",0.9545454545454546
One more obvious offering point for buyers is value by far a lot of Warby Parker glasses providing a sensible and inquisitively at a price of $95.,One more obvious offering point for buyers is value: by far a lot of Warby Parker glasses provides a sensible and inquisitively at a price of $95.,One more obvious offering point for buyers is value by far a lot of Warby Parker glasses providing a sensible and inquisitively priced price of $95.,0.9324324324324325
"The islands is internationally important center for breeding populations of Manx water and Arctic Sea gulls for breeding nationally important site for Mediterranean gull, common gull and eider duck.","The islands are internationally important sites for breeding populations of Manx shearwater and Arctic tern and nationally important sites for breeding Mediterranean gull, common gull and eider duck.","The islands are internationally important center for breeding populations of Manx water and Arctic Sea gulls for breeding nationally important sites for Mediterranean gull, common gull and eider duck.",0.815
Added uses decoerer to prevent non-essential arguments from going assed.,Added uses decorator to prevent non-essential arguments from being passed.,Added uses decoerer to prevent non-essential arguments from going assed.,0.9054054054054054
"MLA Tang, Q ,""Distribution and fate of eviromental-sensitive elements (arsenic ..) and selenium .."" and stibium .. selenium) unduly extending outward-reaction of selenium power plants at Huainan, Anhui"".FUEL 95.1(2012):334-339.","MLA Tang, Q ,et al.""Distribution and fate of environmentally sensitive elements (arsenic, mercury, stibium and selenium) in coal-fired power plants at Huainan, Anhui, China"".FUEL 95.1(2012):334-339.","MLA Tang, Q,Distribution and fate of eviromental-sensitive elements (arsenic..) and selenium.. and stibium.. selenium) and extending outward-reaction of selenium ",0.4949494949494949
"Yes is the bare bone basics, because I tend to not get too much technically and leave that for the propellor-heads.","Yes, these are the bare bone basics, because I tend not to get too technical (yawn), and leave that for the propeller-heads. 80/20 remember?","Yes is the bare bone basics, because I tend to not get too much technically and leave that for the propeller-heads.",0.7071428571428571
