input,output,output_predicted,similarity_score
The members a trade association - or professional body.,Members of a trade association or professional body.,The members are a trade association or professional body.,0.8596491228070176
"DJ T. brings his DJ sets to Australia this month, for four dates across multiple city over Christmas and New Year.","DJ T. brings his DJ sets to Australia this month, for four dates across multiple cities over Christmas and the New Year.","DJ T. brings his DJ sets to Australia this month, for four dates across multiple cities over Christmas and New Year.",0.9666666666666667
We enjoy here some super hit Vocal of actress Radha from her different films.,We can enjoy here some of the super hit video songs of actress Radha from her different films.,We enjoy here some super hit Vocals of actress Radha from her different films.,0.7872340425531915
It sports seals of silicone which makes it leak proof.,It sports a silicone seal which makes it leak proof.,It sports seals of silicone which makes it leak proof.,0.7777777777777778
Net Monthly cash flow = $653.,Net monthly cash flow = $653.,Net Monthly Cash flow = $653.,0.9310344827586207
The interface learn ARP packets big ..,The interface learns ARP packets.,The interface learns ARP packets big..,0.868421052631579
Yeddyurappa Meets DK Shivakumar Over 'Bribe Diary Secret..,Yeddyurappa Meets DK Shivakumar Over 'Bribe Diary' Secret..,Yeddyurappa Meets DK Shivakumar Over 'Bribe Diary Secret..,0.9830508474576272
"Green Grown Brands ( OTCQB: GGBXF) (âGGBâ or âthe Companyâ), today announced that it has entered into agreement through which the company will gain access to 108 prime shop locations in US Malls. owned and operated by the Simon Property Group, Inc. (NYSE: SPG) (âSimonâ).","Green Grown Brands (CSE:GGB) (OTCQB: GGBXF) (âGGBâ or âthe Companyâ) today announced that it has entered into an agreement through which the Company will gain access to 108 prime shop locations in U.S. malls owned and operated by the Simon Property Group, Inc. (NYSE: SPG) (âSimonâ).","Green Grown Brands ( OTCQB: GGBXF) (âGGBâ or âthe Companyâ), today announced that it has entered into an agreement through which the company will gain access to 108 prime shop locations in US Malls. owned and operated by",0.7254237288135593
"Click Download, select changeaddr.rxe and click OK.","Click Download, select changeaddr.rxe, and click OK.","Click Download, select changeaddr.rxe and click OK.",0.9807692307692307
Any study approved by the USFDA must evaluate any vaccien against a placebo control group or against other vaccine or substance approved by the FDA,Any study approved by the USFDA must evaluate any vaccine against a placebo control group or against another vaccine or substance approved by the FDA.,Any study approved by the USFDA must evaluate any vaccine against a placebo control group or against any other vaccine or substance approved by the FDA.,0.9868421052631579
In addition to sitting and moving a joints safely taking stretching time and moving can help copy.,"In addition to sitting and moving your joints safely, taking time to stretch and move can help.","In addition to sitting and moving joints safely, stretching time and moving can help.",0.736842105263158
Next video A life time experience with The Haleem Khan!,Next articleA Life Time Experience To Haleem Khan!,Next video A life time experience with The Haleem Khan!,0.6909090909090909
Click Submit request at the bottom of the page,Click the Submit a Request at the bottom of the page.,Click Submit request at the bottom of the page.,0.8679245283018868
"We initially had only black, red and silver pack, but customers have been asking for a pack with pink and a bit of florary so we've created it for them.","Initially we only had the black, red and silver pack, but customers have been asking for a pack with pink and a bit of floral so we've created it for them.","We initially had only black, red and silver packs, but customers have been asking for a pack with pink and a bit of flora so we've created it for them.",0.8903225806451613
"Evidently's life has very well treated Bill-dees, and he was perfectly willing to acknowledge the fact.","Evidently life had treated Bill Deedes very well, and he was perfectly willing to acknowledge the fact.","Evidently, his life has very well treated Bill-dees, and he was perfectly willing to acknowledge the fact.",0.7452830188679245
"Bibby Line Group Managed Cotract-based defined contribution (DC) pension scheme open for all employees, employeeâ contribution rate are at 4% and Bibbyâs contribution rate set 5%.","A Bibby Line Group-managed contract-based defined contribution (DC) pension scheme open to all employees, with employeesâ contribution rate set at 4% and Bibbyâs contribution rate set at 5%.","Bibby Line Group Managed Cotract-based defined contribution (DC) pension scheme open for all employees, employeeâ contribution rate is at 4% and Bibbyâs contribution rate set at 5%.",0.8917525773195876
"Harry married Abbie EASTMAN on Jun 29., 1904 in Sturg1, St. Joseph Michigan; Abi was born in Ind. (She dead.)","Harry married Abbie EASTMAN on 29 Jun 1904 in Sturgis, St. Joseph, Michigan. Abbie was born in Ind. She died.","Harry married Abbie EASTMAN on Jun 29., 1904 in Sturg1, St. Joseph, Michigan. Abi was born in Ind. (She died).",0.8818181818181818
Is there anyone out there who is willing to light-up all matches of hope to me.,Is there anyone out there who is willing to light up all matches of hope for me?,Is there anyone out there who is willing to light up all the matches of hope for me?,0.9523809523809523
stainless steel farmers Sinks fabulous stainless steel double bowl farmhouse big sink optimum offset double bowl stainless steel farmhouse stainless steel farm sink home depot these seven by mentionement sink.,stainless steel farmers sinks fabulous stainless steel double bowl farmhouse sink optimum offset double bowl stainless steel farmhouse stainless steel farm sink home depot stainless steel farm sinks f.,stainless steel farmers Sinks fabulous stainless steel double bowl farmhouse big sink optimum offset double bowl stainless steel farmhouse stainless steel farm sink home depot these seven by mention sink.,0.8774509803921569
Healthy Conflict Resolution- practice group | The Quality Coach!,Healthy Conflict Resolution- Practice Group | The Quality Coach!,Healthy Conflict Resolution Practice Group | The Quality Coach!,0.984375
Those who you should order today ??,Who would you order with today ??,Those who you should order today??,0.47058823529411764
We Are Israeli Reservists we Refuse to Serve A Petition.,We Are Israeli Reservists. We Refuse to Serve. A Petition.,We Are Israeli Reservists We Refuse to Serve A Petition.,0.9655172413793104
"The author, Alexey Pehov, have a really cool website with some Fantasy are in and against Russian artist.","The author, Alexey Pehov, has a really cool website with some Fantasy are by Russian artist.","The author, Alexey Pehov, has a really cool website with some Fantasy in and against Russian artists.",0.8712871287128713
"The increase, confirming what gain is, the difference between the fair value and the carrying value or the comparative fair values of securities held at each balance sheet date, that was included in earnings for the period.","The increase, resulting in a gain, in the difference between the fair value and the carrying value, or in the comparative fair values, of securities held at each balance sheet date, that was included in earnings for the period.","The increase, confirming what gain is, the difference between the fair value and the carrying value or the comparative fair values of securities held at each balance sheet date, that was included in earnings for the period.",0.9162995594713657
The Positive Personality Model (PPM): Exploring a New Conceptual Framework to Personality Assessment.,The Positive Personality Model (PPM): Exploring a New Conceptual Framework for Personality Assessment.,The Positive Personality Model (PPM): Exploring a New Conceptual Framework for Personality Assessment.,1.0
"People are defferent and they reacts differently you don't have to like it, but you should respect it.","People are different and they react differently. you don't have to like it, but you should respect it.","People are different and they react differently. You don't have to like it, but you should respect it.",0.9901960784313726
Click on the sender's email address or name.,Click the sender's email address or name.,Click on the sender's email address or name.,0.9318181818181819
"As the true lunch connoisseur, This is a multi feature lunch box with containers for porciong food, beverage, vitamins, ice pack.","For the true lunch connoisseur, this is a multi-featured lunch box with containers for portioned food, beverage, vitamins, and ice pack.","As the true lunch connoisseur, this is a multi-feature lunch box with containers for porciong food, beverage, vitamins, ice pack.",0.9191176470588235
"Do you speak any fluent language's other than English and if so, please you can list the language?","Do you speak a fluent language other than English and if so, please list the language?","Do you speak any fluent languages other than English and if so, please list the language?",0.9662921348314607
"Once again, the choise is yours and can be suited to your preference and budget.","Once again, the choice is yours and can be suited to your preferences and budget.","Once again, the choice is yours and can be suited to your preference and budget.",0.9876543209876543
"Comcast now offers Xfinity Double Play and Xfinity Triple Play to that White Lake locals bundle up two or three of our great services like Xfinity TV, Internet, and Voice.","Comcast now offers the Xfinity Double Play and the Xfinity Triple Play so White Lake locals can bundle two or three of our great services like Xfinity TV, Internet, and Voice.","Comcast now offers Xfinity Double Play and Xfinity Triple Play to help White Lake locals bundle up two or three of our great services like Xfinity TV, Internet, and Voice.",0.88
"A connection to another dimension where we feel, see, hear and smell things without the need for a physical body.","A connection to another dimension, where we feel, see, hear and smell things without the need for a physical body.","A connection to another dimension where we feel, see, hear and smell things without the need for a physical body.",0.9912280701754386
Which made my dad do his drunk dolphin laugh,Which made my dad do his drunk dolphin laugh.,Which made my dad do his drunk dolphin laugh.,1.0
The HUB: So being a diplomat will figure in with all the other skills.,The HUB: So being a diplomat figures in with all the other skills.,The HUB: So being a diplomat will figure in with all the other skills.,0.9142857142857143
"105 14: flatware, movie screen, misc.","105. Lot: flatware, movie screen, misc.","105 14: flatware, movie screen, misc.",0.8974358974358975
"The energy of this stone is active within the Third sphere eye chakra and used there will resonate strongly to create major change relating to the third eye, soma and crown chakra energies.","The energy of this stone is active within the third eye chakra and used there will resonate strongly to create major change relating to the third eye, soma and crown chakra energies.","The energy of this stone is active within the Third Sphere Eye Chakra and used there will resonate strongly to create major changes relating to the third eye, soma and crown chakra energies.",0.9473684210526316
26 - Abraham Lincoln on about Being Your Greatest you.,26. Abraham Lincoln on Being Your Best You.,26 - Abraham Lincoln on Being Your Greatest You.,0.8541666666666666
We're looking forward to do the FLATS in cleveland again!!!,We're looking forward to doing the FLATS in Cleveland again!!!,We're looking forward to doing the FLATS in Cleveland again!!!,1.0
I'm using PHP PECL extention to communicate with Gearman-server.,I'm using PHP PECL extention to communicate with Gearman Server.,I'm using PHP PECL extension to communicate with Gearman-server.,0.953125
"Itâll come in 4 colors i.e. Twilight, Black, Midnight Blue.","Itâll come in 3 colors i.e Twilight, Black, Midnight Blue.","Itâll come in 4 colors â Twilight, Black, Midnight Blue.",0.9
Importantly all vintage ghost-hunting tool you'll ever need.,All the vintage ghost-hunting tools you'll ever need.,Importantly all vintage ghost-hunting tools you'll ever need.,0.7868852459016393
"502 is acclaimed as Germany's first post-war V8 powered car; but its high price of DM17,800 led to low sales: only 190 were sold in its first gear.","The 502 was acclaimed as Germany's first post-war V8 powered car, but its high price of DM17,800 led to low sales; only 190 were sold in its first year of production.","502 is acclaimed as Germany's first post-war V8 powered car; but its high price of DM17,800 led to low sales: only 190 were sold in its first gear.",0.8614457831325302
"But the overall message from General Secretary P(lang-Gna) P Moon was clear â âwe are off to a good startâ but in order to address demand sustainable things, governments, business and civil society need to âlearn to think differentlyâ, break down silos and coz more together.","But the overall message from UN General Secretary Ban Ki Moon was clear â âwe are off to a good startâ but in order to address the challenges of sustainability, governments, business and civil society need to âlearn to think differentlyâ, break down silos and collaborate more.","But the overall message from General Secretary P(lang-Gna) P Moon was clear â âwe are off to a good startâ but in order to address demand sustainable things, governments, businesses and civil society need to âlearn to think differentlyâ",0.6933797909407666
You are being clearly doing a great service in David.,You are clearly doing a great service David.,You are clearly doing a great service in David.,0.9361702127659575
You should meet with an academic advisor either in the CHP Student Service Center or your faculty advisor at least once a semester to discuss your plans to take sure you are on track to graduate in a timely manner.,"You should meet with an academic advisor, either in the CHP Student Service Center or your faculty advisor, at least once a semester to discuss your plans and to make sure you are on-track to graduate in a timely manner.",You should meet with an academic advisor either in the CHP Student Service Center or your faculty advisor at least once a semester to discuss your plans to make sure you are on track to graduate in a timely manner.,0.9681818181818181
"They initially treated her concerns as a ""non-urgent"" case and actually could not visit Kalyanjee's flat, which was close to Spoce.","They initially treated her concerns as a ""non-urgent"" case and did not visit Kalyanjee's flat, which was close to the police station.","They initially treated her concerns as a ""non-urgent"" case and actually could not visit Kalyanjee's flat, which was close to Spoce.",0.7969924812030076
"Weese, David A., Napanee Beaver, March 25 1943, p 5 c 6 obit.","Weese, David A., Napanee Beaver, March 25, 1943, p. 5 c. 6 obit.","Weese, David A., Napanee Beaver, March 25, 1943, p 5 c 6 obit.",0.96875
"Mapex Black Panther and 14"" x 5.5 Velvetone Snare Drum BMPW4550CNUB !","Mapex Black Panther 14"" x 5.5"" Velvetone Snare Drum BMPW4550CNUB !","Mapex Black Panther and 14"" x 5.5 Velvetone Snare Drum BMPW4550CNUB!",0.9117647058823529
3.Disatage: purity of refined methonal is not very pure.,3.Disadvantage: the purity of refined methonal is not very pure.,3.Disaster: purity of refined metal is not very pure.,0.78125
5.0 out of 5 starsKeeper. Going in re-read collection.,5.0 out of 5 starsKeeper. Going in my re-read collection.,5.0 out of 5 starsKeeper. Going in re-read collection.,0.9473684210526316
"More finally, Book Three of The Legend of Korra has gradually to what the showâs potential.","Finally, Book Three of The Legend of Korra has lived up to the showâs potential.","More finally, Book Three of The Legend of Korra has gradually revealed what the showâs potential is.",0.71
"On a conference call after day one of the draft, Luis Rajsich elaborated on what the Orioles liked about Rodriguez.","On a conference call after day one of the draft, Rajsich elaborated on what the Orioles liked about Rodriguez.","On a conference call after day one of the draft, Luis Rajsich elaborated on what the Orioles liked about Rodriguez.",0.9565217391304348
Intelligent transport systems is one of target markets' of the navigation industry development include the National Technology Initiative (NTI) Navitech showed latest Russian developments and 'NTI' projects in this field.,Intelligent transport systems is one of priority markets of the navigation industry development including the National Technology Initiative (NTI). Navitech showed the latest Russian developments and the NTI projects in this field.,Intelligent transport systems are one of the target markets of the navigation industry. Developments include the National Technology Initiative (NTI). Navitech showed latest Russian developments and 'NTI' projects in this field.,0.8831168831168831
"By the net improvement area, we name this âgraphical eye sweetâ, and when used successfully, this method will actually scroket your gross sales, immediately!","Within the net improvement area, we name this âgraphical eye sweetâ, and when used successfully, this method will actually skyrocket your gross sales, immediately!","By the net improvement area, we name this âgraphical eye candyâ, and when used successfully, this method will actually increase your gross sales, immediately!",0.8682634730538922
"Detergent entitled Â« Global Market Insights, Inc.","Detergent Â« Global Market Insights, Inc.","Detergent entitled Global Market Insights, Inc.",0.8297872340425532
It allows that perform sentiment analysis through our feedback by patrons.,It allows to perform sentiment analysis on feedback by patrons.,It allows us to perform sentiment analysis through feedback from patrons.,0.821917808219178
"Information about the highly viscous layer intersect with from the earth's crust and lower mantle including its internal structure, its material composition and other natural phenomena.","Information about the highly viscous layer between the Earth's crust and the lower mantle, including its internal structure, its material composition and associated natural phenomena.","Information about the highly viscous layer intersecting with the earth's crust and lower mantle, including its internal structure, its material composition and other natural phenomena.",0.8532608695652174
"This week: Uber driver. low wage, carnies , $2 ^ and others.","This week: Uber drivers, low wages, carnies, $2, and the other side.","This week: Uber driver. low wage, carnies, $2  and others.",0.8235294117647058
"It was two years ago that a very flashy ram lamb was born here at harvest thyme. The moment when I saw in the barn on Sunday Morning I thought "" Oh my gosh, he is going to be a special little boy!"" Hence name of "" Jammer 'I named him after a popular song at the time came to be finally.","Two years ago a very flashy ram lamb was born here at Harvest Thyme. The moment I saw in the barn on a Sunday morning I thought, ""Oh my gosh, he is going to be a special little boy!"" I named him after a popular song at the time and hence the name ""Jammer"" came to be.","It was two years ago that a very flashy ram lamb was born here at harvest thyme. The moment when I saw him in the barn on Sunday Morning I thought ""Oh my gosh, he is going to be a special little boy!"" Hence the name of """,0.6367041198501873
Everything seems delicious and now I want to sushi!,"Everything seems delicious, and now I want sushi!",Everything seems delicious and now I want sushi!,0.9795918367346939
"If youâre a team player. and have a strong desire for growth himself results, letâs talk about what it being part of our team means.","If youâre a team player and have a strong desire for growth and results, letâs talk about what being part of our team means.","If youâre a team player and have a strong desire for growth and results, letâs talk about what being part of our team means.",0.96875
where I can get more information on the H-mex system? where're the training center for use of h-mex systems: are they all located in S>Korea only?,where can I get more information on the H-mex system? where are the training centers for use of h-mex systems? are they all located in S>Korea only?,where can I get more information on the H-mex system? where's the training center for use of h-mex systems: are they all located in Korea only?,0.9459459459459459
individual statements or metho calls be evaluated or run.,individual statements or method calls are evaluated or run.,individual statements or metho calls be evaluated or run.,0.9491525423728814
"Woodrow Thomas, 72, of Edgefield, SC enter into rest Tuesday, September 18, 2018.","Woodrow Thomas, 72, of Edgefield, SC entered into rest Tuesday, September 18, 2018.","Woodrow Thomas, 72, of Edgefield, SC, entered into rest Tuesday, September 18, 2018.",0.9880952380952381
"Obtain or attempt to obtain unauthorized access to the site, including access with a false password or PIN (Personal Identification Number) or attempt to distort your identity or authority to carry out on behalf of an other people.","Obtain or attempt to obtain unauthorized access to the site, including access through a false password or PIN (Personal Identification Number) or attempt to distort your identity or authority to carry out any action on behalf of another person.","Obtain or attempt to obtain unauthorized access to the site, including access with a false password or PIN (Personal Identification Number) or attempt to distort your identity or authority to carry out on behalf of another person.",0.930327868852459
Head over to the section on using your custom domain: on your WordPress.com web site!,Head over to the section on using your custom domain with your WordPress.com website!,Head over to the section on using your custom domain on your WordPress.com web site!,0.9411764705882353
Mine wasn't as great tho.,Mine wasn't that great tho.,Mine wasn't as great tho.,0.8888888888888888
"Lloyd appointed the role in August 2014, and was supposed to completely his terms for two years in less than two months.","Lloyd was appointed to the role in August 2014, and was set to complete his two year term in less than two months.","Lloyd appointed the role in August 2014, and was supposed to complete his terms for two years in less than two months.",0.7796610169491526
"Putting in energized is no problem at Twitty, from my boss he said he finds his work and clients great motivators.","Staying energized is no problem for Twitty, and he said he find his work and clients great motivators.","Putting in energized is no problem at Twitty, from my boss he said he finds his work and clients great motivators.",0.7982456140350878
"They are quite harmless, there's nothing to fear.","It is quite harmless, there's nothing to fear.","They are quite harmless, there's nothing to fear.",0.8571428571428572
"The Sample Resume, examples of Cna Resmes was posted September 25, 2018 at 2:51 pm by Gaiden and Cna Resmes.","Sample Resume, Examples Of Cna Resumes was posted September 25, 2018 at 2:51 pm by Cometmerch.com . More over Examples Of Cna Resumes has viewed by 2553 visitor.","The Sample Resume, examples of Cna Resmes was posted September 25, 2018 at 2:51 pm by Gaiden and Cna Resmes.",0.5652173913043479
"The foreign portfolio investor will be allowed to buy additional shares in a company only if it holdings is less than 10%, according to norms for the new juniors overseas investment regime start-up.","A foreign portfolio investor will be allowed to buy additional shares in a company only if its holding is less than 10%, according to norms for the new overseas investment regime that starts in June.","The foreign portfolio investor will be allowed to buy additional shares in a company only if its holdings are less than 10%, according to norms for the new junior overseas investment regime start-up.",0.864321608040201
"Finally, provide a long exchange transition of the topic into the nexnt section suppost.","Finally, provide a transition into the topic of the next section of support.","Finally, provide a long exchange transition of the topic into the next section.",0.5822784810126582
By default in databases folder a files was stored in the database folder.,By default database files are stored in the Databases folder in that folder.,By default in the databases folder a file was stored in the database folder.,0.5263157894736843
To those are the titles who come to my mind when I think about that time my home to start a new like in the UK! I hope he will enjoy them as much as I did back in the day if he hasnât read them already!,Those are the titles that come to mind when I think about that time my home to start a new like in the UK. I hope he will enjoy them as much as I did back in the dayâif he hasnât read them already!,To those are the titles that come to my mind when I think about that time when I am home to start a new job in the UK! I hope he will enjoy them as much as I did back in the day if he hasnât read them already!,0.8803827751196173
Yep you read correctly â Rockyford is SOLD - making our life so much less crazy (but still crazy).,Yep you read correctly â Rockyford is SOLD â making our lives so much less crazy (but still crazy).,"Yep, you read correctly â Rockyford is SOLD â making our life so much less crazy (but still crazy).",0.9320388349514563
Hi my name to be Casper; I am a mini American Eskimo (Eskie; I have lots of information about American Eskimos.,Hi! My name is Casper. I am a mini American Eskimo (Eskie). I have lots of information about American Eskimos.,"Hi, my name is Casper. I am a mini American Eskimo (Eskie). I have lots of information about American Eskimos.",0.9818181818181818
"November 08, 2016 What does your warranty cover on?","November 08, 2016 What does your warranty cover?","November 08, 2016 What does your warranty cover?",1.0
"21th dec 2090: Why not first treat them colosseum perfectly until days later big term to sow is 12390 stroke and 2 times that that My milk Flow did not develop to the extent it should have been 4.times as , and it was not enough for the baby because of which i had to feed formula milk to my child!!I was in the hospital for nine days ,and bt then my son was completely on Top feed.","On the 21st of dec 2009 , my adorable son was born in the best of health . I started secreting Colosseum and everything was picture perfect until two days after the delivery i was diagnosed with Dengue Fever .I started getting fever , shivers was was very weak .My appetite went down drastically . My milk Flow did not develop to the extent it should have , it was not enough for the baby , because of which i had to feed formula milk to my child .I was in the hospital for nine days ,and bt then my son was completely on Top feed.","21st Dec 2090: Why not first treat them colosseum perfectly until days later big term to sow is 12390 stroke and 2 times that that My milk flow did not develop to the extent it should have been, and it was not enough for the baby because",0.327683615819209
Call for help emergency medical help.,Call for emergency medical help.,Call for emergency medical help.,1.0
"In addition, she suggested other remedies such as court action might be available to indigenious groups once a law is passed.","In addition, she suggested other remedies such as court action might be available to Indigenous groups once a law is passed.","In addition, she suggested other remedies such as court action might be available to indigenious groups once a law is passed.",0.984
The enthusiasm and commitment of developing organic wines in their souhtern Franch grape has lead Louis Max to produce this fine example from Languedoc.,The enthusiasm and commitment to developing organic wines in their southern French terroirs has lead Louis Max to producing this fine example from Languedoc.,The enthusiasm and commitment to developing organic wines in their souhtern Franch grape has led Louis Max to produce this fine example from Languedoc.,0.910828025477707
"Warrs, Braiden triped at right center.","Ward, Braiden tripled to right center.","Warrs, Braiden triped at right center.",0.868421052631579
In Room 19 we asked a lots of questions and explored lots of varieties of science!,In Room 19 we asked lots of questions and explored lots of varieties of science!,"In Room 19, we asked lots of questions and explored lots of varieties of science!",0.9876543209876543
